data;

param M := 60;
param G := 6;

# <id grupo> <valor>
param LIM_MIN :=
	1 10
	2 10
	3 10
	4 10
	5 10
	6 10
;

# <id grupo> <valor>
param LIM_MAX :=
	1 10
	2 10
	3 10
	4 10
	5 10
	6 10
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 93.4
0 2 68.782
0 3 37.139
0 4 36.279
0 5 12.359
0 6 68.397
0 7 25.879
0 8 81.329
0 9 50.163
0 10 58.141
0 11 14.645
0 12 53.871
0 13 91.866
0 14 46.805
0 15 13.646
0 16 16.967
0 17 33.48
0 18 53.423
0 19 43.198
0 20 82.211
0 21 95.779
0 22 33.214
0 23 55.941
0 24 39.495
0 25 27.543
0 26 68.905
0 27 6.404
0 28 3.044
0 29 1.315
0 30 1.035
0 31 9.919
0 32 58.527
0 33 42.718
0 34 9.615
0 35 53.662
0 36 30.085
0 37 63.008
0 38 13.897
0 39 84.03
0 40 85.861
0 41 83.775
0 42 27.048
0 43 96.618
0 44 65.923
0 45 52.541
0 46 88.144
0 47 97.727
0 48 47.449
0 49 48.538
0 50 95.186
0 51 89.641
0 52 58.607
0 53 69.023
0 54 79.733
0 55 55.845
0 56 14.783
0 57 68.246
0 58 96.256
0 59 86.882
1 0 93.4
1 1 0
1 2 78.632
1 3 93.538
1 4 47.475
1 5 92.747
1 6 38.897
1 7 25.987
1 8 30.696
1 9 93.512
1 10 62.009
1 11 86.781
1 12 69.579
1 13 66.291
1 14 95.192
1 15 14.509
1 16 90.768
1 17 53.708
1 18 90.142
1 19 53.631
1 20 15.459
1 21 6.727
1 22 72.284
1 23 19.747
1 24 62.286
1 25 42.965
1 26 2.206
1 27 23.468
1 28 99.736
1 29 50.575
1 30 63.084
1 31 41.395
1 32 43.896
1 33 57.311
1 34 60.721
1 35 20.079
1 36 70.412
1 37 14.571
1 38 41.303
1 39 86.847
1 40 98.371
1 41 17.013
1 42 16.043
1 43 19.961
1 44 8.154
1 45 89.771
1 46 31.597
1 47 99.833
1 48 75.377
1 49 27.338
1 50 40.463
1 51 22.879
1 52 38.647
1 53 60.869
1 54 6.543
1 55 10.087
1 56 70.149
1 57 63.954
1 58 27.614
1 59 83.474
2 0 68.782
2 1 78.632
2 2 0
2 3 84.966
2 4 80.828
2 5 68.663
2 6 15.366
2 7 7.549
2 8 75.555
2 9 77.902
2 10 77.775
2 11 11.924
2 12 55.886
2 13 0.681
