data;

param M := 10;

param G := 2;

# <id grupo> <valor>
param LIM_MIN :=
	1 5
	2 5
;

# <id grupo> <valor>
param LIM_MAX :=
	1 5
	2 5
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
	0	0	0
   0	1	88
   0	2	53
   0	3	26
   0	4	29
   0	5	82
   0	6	17
   0	7	5
   0	8	43
   0	9	11
   1	0	88
   1	1	0
   1	2	11
   1	3	77
   1	4	79
   1	5	37
   1	6	50
   1	7	33
   1	8	51
   1	9	30
   2	0	53
   2	1	11
   2	2	0
   2	3	97
   2	4	68
   2	5	22
   2	6	14
   2	7	42
   2	8	13
   2	9	17
   3	0	26
   3	1	77
   3	2	97
   3	3	0
   3	4	16
   3	5	11
   3	6	21
   3	7	56
   3	8	64
   3	9	26
   4	0	29
   4	1	79
   4	2	68
   4	3	16
   4	4	0
   4	5	2
   4	6	75
   4	7	30
   4	8	48
   4	9	85
   5	0	82
   5	1	37
   5	2	22
   5	3	11
   5	4	2
   5	5	0
   5	6	24
   5	7	78
   5	8	39
   5	9	52
   6	0	17
   6	1	50
   6	2	14
   6	3	21
   6	4	75
   6	5	24
   6	6	0
   6	7	28
   6	8	66
   6	9	64
   7	0	5
   7	1	33
   7	2	42
   7	3	56
   7	4	30
   7	5	78
   7	6	28
   7	7	0
   7	8	86
   7	9	85
   8	0	43
   8	1	51
   8	2	13
   8	3	64
   8	4	48
   8	5	39
   8	6	66
   8	7	86
   8	8	0
   8	9	41
   9	0	11
   9	1	30
   9	2	17
   9	3	26
   9	4	85
   9	5	52
   9	6	64
   9	7	85
   9	8	41
   9	9	0

;

end;
