data;

param M := 60;
param G := 6;

# <id grupo> <valor>
param LIM_MIN :=
	1 8
	2 9
	3 7
	4 10
	5 8
	6 8
;

# <id grupo> <valor>
param LIM_MAX :=
	1 13
	2 14
	3 13
	4 10
	5 13
	6 12
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 95
0 2 51
0 3 67
0 4 67
0 5 52
0 6 31
0 7 100
0 8 79
0 9 67
0 10 8
0 11 47
0 12 13
0 13 56
0 14 75
0 15 97
0 16 38
0 17 33
0 18 40
0 19 0
0 20 29
0 21 40
0 22 3
0 23 95
0 24 47
0 25 20
0 26 13
0 27 82
0 28 8
0 29 65
0 30 4
0 31 24
0 32 80
0 33 8
0 34 81
0 35 59
0 36 91
0 37 82
0 38 77
0 39 94
0 40 77
0 41 51
0 42 67
0 43 25
0 44 56
0 45 61
0 46 53
0 47 79
0 48 97
0 49 3
0 50 80
0 51 74
0 52 72
0 53 24
0 54 87
0 55 34
0 56 41
0 57 93
0 58 46
0 59 73
1 0 95
1 1 0
1 2 78
1 3 51
1 4 49
1 5 88
1 6 32
1 7 75
1 8 37
1 9 13
1 10 34
1 11 59
1 12 40
1 13 80
1 14 60
1 15 4
1 16 33
1 17 70
1 18 50
1 19 7
1 20 72
1 21 79
1 22 28
1 23 58
1 24 43
1 25 7
1 26 2
1 27 100
1 28 76
1 29 10
1 30 97
1 31 33
1 32 84
1 33 71
1 34 22
1 35 5
1 36 64
1 37 90
1 38 33
1 39 59
1 40 84
1 41 69
1 42 30
1 43 88
1 44 29
1 45 34
1 46 91
1 47 98
1 48 73
1 49 27
1 50 37
1 51 49
1 52 48
1 53 52
1 54 24
1 55 3
1 56 63
1 57 0
1 58 99
1 59 27
2 0 51
2 1 78
2 2 0
2 3 48
2 4 83
2 5 35
2 6 67
2 7 7
2 8 19
2 9 72
2 10 60
2 11 96
2 12 13
2 13 97
2 14 44
2 15 0
2 16 64
2 17 58
2 18 54
2 19 24
2 20 20
2 21 99
2 22 62
2 23 5
2 24 76
2 25 93
2 26 62
2 27 31
2 28 10
2 29 39
2 30 6
2 31 24
2 32 53
2 33 73
2 34 62
2 35 68
2 36 35
2 37 6
2 38 7
2 39 86
2 40 59
2 41 2
2 42 22
2 43 63
2 44 37
2 45 46
2 46 81
2 47 46
2 48 11
2 49 90
2 50 35
2 51 93
2 52 64
2 53 38
2 54 1
2 55 46
2 56 28
2 57 95
2 58 38
2 59 20
3 0 67
3 1 51
3 2 48
3 3 0
3 4 46
3 5 79
3 6 1
3 7 77
3 8 27
3 9 21
3 10 1
3 11 81
3 12 61
3 13 36
3 14 6
3 15 31
3 16 22
3 17 56
3 18 39
3 19 97
3 20 98
3 21 5
3 22 80
3 23 24
3 24 26
3 25 22
3 26 61
3 27 30
3 28 19
3 29 24
3 30 39
3 31 76
3 32 42
3 33 38
3 34 46
3 35 26
3 36 87
3 37 83
3 38 81
3 39 49
3 40 19
3 41 19
3 42 63
3 43 21
3 44 43
3 45 35
3 46 99
3 47 17
3 48 32
3 49 63
3 50 31
3 51 62
3 52 76
3 53 31
3 54 0
3 55 1
3 56 56
3 57 33
3 58 34
3 59 67
4 0 67
4 1 49
4 2 83
4 3 46
4 4 0
4 5 47
4 6 73
4 7 1
4 8 36
4 9 70
4 10 79
4 11 100
4 12 73
4 13 85
4 14 8
4 15 34
4 16 2
4 17 27
4 18 91
4 19 14
4 20 18
4 21 17
4 22 74
4 23 0
4 24 41
4 25 25
4 26 84
4 27 15
4 28 21
4 29 42
4 30 22
4 31 91
4 32 0
4 33 65
4 34 4
4 35 83
4 36 61
4 37 11
4 38 8
4 39 92
4 40 47
4 41 20
4 42 89
4 43 68
4 44 40
4 45 100
4 46 26
4 47 25
4 48 93
4 49 63
4 50 77
4 51 11
4 52 6
4 53 14
4 54 88
4 55 85
4 56 1
4 57 84
4 58 95
4 59 72
5 0 52
5 1 88
5 2 35
5 3 79
5 4 47
5 5 0
5 6 98
5 7 45
5 8 45
5 9 50
5 10 18
5 11 87
5 12 94
5 13 38
5 14 32
5 15 66
5 16 58
5 17 42
5 18 57
5 19 26
5 20 8
5 21 26
5 22 79
5 23 10
5 24 70
5 25 27
5 26 3
5 27 29
5 28 77
5 29 70
5 30 71
5 31 1
5 32 14
5 33 85
5 34 70
5 35 28
5 36 50
5 37 32
5 38 64
5 39 39
5 40 59
5 41 42
5 42 42
5 43 100
5 44 67
5 45 77
5 46 7
5 47 85
5 48 69
5 49 29
5 50 10
5 51 49
5 52 10
5 53 41
5 54 3
5 55 28
5 56 33
5 57 23
5 58 9
5 59 72
6 0 31
6 1 32
6 2 67
6 3 1
6 4 73
6 5 98
6 6 0
6 7 42
6 8 44
6 9 67
6 10 82
6 11 25
6 12 21
6 13 34
6 14 79
6 15 62
6 16 2
6 17 36
6 18 53
6 19 29
6 20 4
6 21 54
6 22 40
6 23 56
6 24 49
6 25 10
6 26 20
6 27 76
6 28 53
6 29 51
6 30 98
6 31 94
6 32 37
6 33 85
6 34 41
6 35 99
6 36 1
6 37 25
6 38 26
6 39 54
6 40 1
6 41 34
6 42 57
6 43 94
6 44 97
6 45 3
6 46 10
6 47 16
6 48 55
6 49 62
6 50 93
6 51 9
6 52 33
6 53 85
6 54 63
6 55 49
6 56 74
6 57 0
6 58 69
6 59 39
7 0 100
7 1 75
7 2 7
7 3 77
7 4 1
7 5 45
7 6 42
7 7 0
7 8 88
7 9 7
7 10 84
7 11 88
7 12 63
7 13 23
7 14 16
7 15 96
7 16 14
7 17 78
7 18 80
7 19 49
7 20 43
7 21 91
7 22 5
7 23 57
7 24 36
7 25 26
7 26 48
7 27 84
7 28 13
7 29 47
7 30 52
7 31 40
7 32 36
7 33 76
7 34 80
7 35 90
7 36 98
7 37 14
7 38 65
7 39 20
7 40 64
7 41 13
7 42 56
7 43 56
7 44 67
7 45 95
7 46 72
7 47 39
7 48 68
7 49 34
7 50 62
7 51 95
7 52 10
7 53 86
7 54 7
7 55 45
7 56 32
7 57 90
7 58 59
7 59 23
8 0 79
8 1 37
8 2 19
8 3 27
8 4 36
8 5 45
8 6 44
8 7 88
8 8 0
8 9 39
8 10 2
8 11 98
8 12 48
8 13 97
8 14 55
8 15 12
8 16 46
8 17 3
8 18 26
8 19 82
8 20 96
8 21 48
8 22 50
8 23 100
8 24 74
8 25 14
8 26 1
8 27 43
8 28 92
8 29 71
8 30 82
8 31 39
8 32 22
8 33 46
8 34 68
8 35 37
8 36 3
8 37 68
8 38 10
8 39 38
8 40 83
8 41 11
8 42 40
8 43 91
8 44 71
8 45 64
8 46 30
8 47 55
8 48 72
8 49 28
8 50 17
8 51 26
8 52 18
8 53 2
8 54 78
8 55 88
8 56 71
8 57 12
8 58 28
8 59 14
9 0 67
9 1 13
9 2 72
9 3 21
9 4 70
9 5 50
9 6 67
9 7 7
9 8 39
9 9 0
9 10 67
9 11 85
9 12 31
9 13 50
9 14 96
9 15 43
9 16 41
9 17 73
9 18 21
9 19 16
9 20 0
9 21 70
9 22 31
9 23 15
9 24 15
9 25 14
9 26 8
9 27 97
9 28 88
9 29 46
9 30 84
9 31 59
9 32 91
9 33 52
9 34 5
9 35 55
9 36 0
9 37 1
9 38 91
9 39 29
9 40 46
9 41 15
9 42 2
9 43 67
9 44 12
9 45 12
9 46 76
9 47 73
9 48 8
9 49 45
9 50 44
9 51 80
9 52 29
9 53 15
9 54 16
9 55 82
9 56 21
9 57 6
9 58 68
9 59 28
10 0 8
10 1 34
10 2 60
10 3 1
10 4 79
10 5 18
10 6 82
10 7 84
10 8 2
10 9 67
10 10 0
10 11 86
10 12 57
10 13 41
10 14 37
10 15 27
10 16 15
10 17 48
10 18 62
10 19 86
10 20 90
10 21 99
10 22 44
10 23 51
10 24 45
10 25 64
10 26 73
10 27 48
10 28 22
10 29 26
10 30 74
10 31 68
10 32 31
10 33 36
10 34 72
10 35 21
10 36 35
10 37 86
10 38 39
10 39 29
10 40 99
10 41 0
10 42 51
10 43 74
10 44 59
10 45 75
10 46 12
10 47 58
10 48 23
10 49 74
10 50 52
10 51 9
10 52 6
10 53 92
10 54 75
10 55 43
10 56 28
10 57 89
10 58 67
10 59 97
11 0 47
11 1 59
11 2 96
11 3 81
11 4 100
11 5 87
11 6 25
11 7 88
11 8 98
11 9 85
11 10 86
11 11 0
11 12 3
11 13 12
11 14 18
11 15 91
11 16 25
11 17 55
11 18 76
11 19 88
11 20 41
11 21 39
11 22 85
11 23 45
11 24 97
11 25 34
11 26 58
11 27 82
11 28 27
11 29 77
11 30 67
11 31 75
11 32 34
11 33 71
11 34 49
11 35 93
11 36 56
11 37 77
11 38 6
11 39 49
11 40 70
11 41 93
11 42 49
11 43 36
11 44 87
11 45 69
11 46 74
11 47 94
11 48 17
11 49 38
11 50 44
11 51 64
11 52 54
11 53 40
11 54 98
11 55 86
11 56 25
11 57 3
11 58 5
11 59 32
12 0 13
12 1 40
12 2 13
12 3 61
12 4 73
12 5 94
12 6 21
12 7 63
12 8 48
12 9 31
12 10 57
12 11 3
12 12 0
12 13 6
12 14 87
