data;

param M := 30;
param G := 5;

# <id grupo> <valor>
param LIM_MIN :=
	1 6
	2 6
	3 6
	4 6
	5 6
;

# <id grupo> <valor>
param LIM_MAX :=
	1 6
	2 6
	3 6
	4 6
	5 6
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 12
0 2 68
0 3 1
0 4 53
0 5 4
0 6 42
0 7 77
0 8 67
0 9 11
0 10 77
0 11 1
0 12 72
0 13 48
0 14 70
0 15 83
0 16 98
0 17 53
0 18 45
0 19 15
0 20 17
0 21 68
0 22 95
0 23 71
0 24 3
0 25 56
0 26 87
0 27 51
0 28 83
0 29 38
1 0 12
1 1 0
1 2 27
1 3 59
1 4 12
1 5 39
1 6 86
1 7 1
1 8 90
1 9 22
1 10 88
1 11 54
1 12 50
1 13 91
1 14 89
1 15 16
1 16 81
1 17 36
1 18 13
1 19 22
1 20 85
1 21 10
1 22 21
1 23 26
1 24 16
1 25 0
1 26 79
1 27 58
1 28 75
1 29 93
2 0 68
2 1 27
2 2 0
2 3 43
2 4 14
2 5 53
2 6 90
2 7 57
2 8 44
2 9 14
2 10 96
2 11 17
2 12 58
2 13 22
2 14 52
2 15 4
2 16 96
2 17 59
2 18 24
2 19 16
2 20 47
2 21 33
2 22 54
2 23 56
2 24 44
2 25 40
2 26 3
2 27 24
2 28 78
2 29 87
3 0 1
3 1 59
3 2 43
3 3 0
3 4 75
3 5 20
3 6 97
3 7 90
3 8 48
3 9 41
3 10 32
3 11 11
3 12 58
3 13 100
3 14 83
3 15 62
3 16 95
3 17 1
3 18 50
3 19 27
3 20 99
3 21 69
3 22 65
3 23 4
3 24 43
3 25 89
3 26 35
3 27 0
3 28 77
3 29 89
4 0 53
4 1 12
4 2 14
4 3 75
4 4 0
4 5 62
4 6 18
4 7 14
4 8 50
4 9 39
4 10 84
4 11 41
4 12 28
4 13 89
4 14 85
4 15 68
4 16 38
4 17 45
4 18 15
4 19 61
4 20 37
4 21 79
4 22 89
4 23 54
4 24 90
4 25 78
4 26 78
4 27 67
4 28 19
4 29 24
5 0 4
5 1 39
5 2 53
5 3 20
5 4 62
5 5 0
5 6 5
5 7 40
5 8 13
5 9 93
5 10 51
5 11 86
5 12 62
5 13 0
5 14 57
5 15 22
5 16 5
5 17 78
5 18 88
5 19 37
5 20 19
5 21 84
5 22 99
5 23 60
5 24 32
5 25 40
5 26 84
5 27 52
5 28 1
5 29 82
6 0 42
6 1 86
6 2 90
6 3 97
6 4 18
6 5 5
6 6 0
6 7 3
6 8 82
6 9 71
6 10 46
6 11 53
6 12 61
6 13 1
6 14 3
6 15 46
6 16 73
6 17 22
6 18 63
6 19 21
6 20 9
6 21 49
6 22 84
6 23 7
6 24 58
6 25 96
6 26 48
6 27 13
6 28 46
6 29 29
7 0 77
7 1 1
7 2 57
7 3 90
7 4 14
7 5 40
7 6 3
7 7 0
7 8 88
7 9 35
7 10 50
7 11 99
7 12 64
7 13 19
7 14 25
7 15 87
7 16 45
7 17 48
7 18 79
7 19 98
7 20 65
7 21 36
7 22 36
7 23 81
7 24 70
7 25 39
7 26 81
7 27 36
7 28 47
7 29 65
8 0 67
8 1 90
8 2 44
8 3 48
8 4 50
8 5 13
8 6 82
8 7 88
8 8 0
8 9 91
8 10 67
8 11 9
8 12 61
8 13 41
8 14 83
8 15 58
8 16 94
8 17 12
8 18 17
8 19 96
8 20 57
8 21 91
8 22 52
8 23 1
8 24 54
8 25 58
8 26 4
8 27 48
8 28 23
8 29 49
9 0 11
9 1 22
9 2 14
9 3 41
9 4 39
9 5 93
9 6 71
9 7 35
9 8 91
9 9 0
9 10 58
9 11 22
9 12 51
9 13 4
9 14 39
9 15 95
9 16 43
9 17 38
9 18 81
9 19 78
9 20 71
9 21 60
9 22 73
9 23 63
9 24 88
9 25 70
9 26 37
9 27 51
9 28 25
9 29 88
10 0 77
10 1 88
10 2 96
10 3 32
10 4 84
10 5 51
10 6 46
10 7 50
10 8 67
10 9 58
10 10 0
10 11 15
10 12 84
10 13 9
10 14 47
10 15 8
10 16 31
10 17 95
10 18 24
10 19 89
10 20 90
10 21 4
10 22 94
10 23 23
10 24 68
10 25 80
